2026-03-14 17:19:48 | INFO | app | GET /static/js/dashboard.js -> 200
2026-03-14 17:20:24 | INFO | app | GET /login
2026-03-14 17:20:24 | INFO | app | GET /login -> 200
2026-03-14 17:20:24 | INFO | app | GET /static/css/auth.css
2026-03-14 17:20:24 | INFO | app | GET /static/js/auth.js
2026-03-14 17:20:24 | INFO | app | GET /static/css/auth.css -> 304
2026-03-14 17:20:24 | INFO | app | GET /static/js/auth.js -> 200
2026-03-14 17:22:02 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:22:02 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:22:02 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:22:02 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:26:54 | INFO | app | GET /dashboard
2026-03-14 17:26:54 | INFO | app | GET /dashboard -> 200
2026-03-14 17:26:54 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:26:54 | INFO | app | GET /static/js/dashboard.js
2026-03-14 17:26:54 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:26:54 | INFO | app | GET /static/js/dashboard.js -> 304
2026-03-14 17:27:22 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:27:22 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:34:25 | INFO | app | GET /dashboard
2026-03-14 17:34:25 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:26 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:34:26 | INFO | app | GET /static/css/dashboard.css -> 200
2026-03-14 17:34:26 | INFO | app | GET /uploads/69741751_20260314150227.jpeg
2026-03-14 17:34:26 | INFO | app | GET /static/js/dashboard.js
2026-03-14 17:34:26 | INFO | app | GET /uploads/69741751_20260314150227.jpeg -> 304
2026-03-14 17:34:26 | INFO | app | GET /static/js/dashboard.js -> 304
2026-03-14 17:34:43 | INFO | app | GET /dashboard
2026-03-14 17:34:43 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:43 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:34:43 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:34:46 | INFO | app | GET /dashboard
2026-03-14 17:34:46 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:46 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:34:46 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:34:47 | INFO | app | GET /dashboard
2026-03-14 17:34:47 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:47 | INFO | app | GET /dashboard
2026-03-14 17:34:47 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:47 | INFO | app | GET /dashboard
2026-03-14 17:34:47 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:48 | INFO | app | GET /dashboard
2026-03-14 17:34:48 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:48 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:34:48 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:34:48 | INFO | app | GET /dashboard
2026-03-14 17:34:48 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:48 | INFO | app | GET /dashboard
2026-03-14 17:34:48 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:48 | INFO | app | GET /dashboard
2026-03-14 17:34:48 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:49 | INFO | app | GET /dashboard
2026-03-14 17:34:49 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:49 | INFO | app | GET /dashboard
2026-03-14 17:34:49 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:49 | INFO | app | GET /dashboard
2026-03-14 17:34:49 | INFO | app | GET /dashboard -> 200
2026-03-14 17:34:50 | INFO | app | GET /dashboard
2026-03-14 17:34:50 | INFO | app | GET /dashboard -> 200
2026-03-14 17:35:00 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:35:00 | INFO | app | GET /static/css/dashboard.css -> 304
